detected_X_V (unit),detected_Y_V (unit),detected_Z_V (unit),detected_X_P (unit),detected_Y_P (unit),detected_Z_P (unit),detected_XF (unit),detected_YF (unit),detected_ZF (unit),X_position (unit),Y_position (unit),Z_position (unit)
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.12E-02,4.50E-01,2.00E-01,3.50E-02
-1.66E-02,1.24E-02,5.96E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.15E-02,4.50E-01,2.00E-01,4.45E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.13E-02,4.50E-01,2.00E-01,4.49E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
-1.66E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,-6.76E-04,9.70E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,2.00E-01,4.50E-02
3.71E-02,1.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,9.69E-03,5.12E-02,4.50E-01,1.50E-01,3.50E-02
3.71E-02,6.24E-02,5.96E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,5.74E-02,5.15E-02,4.50E-01,1.50E-01,4.45E-02
3.71E-02,6.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,5.74E-02,5.12E-02,4.50E-01,1.50E-01,4.49E-02
3.71E-02,6.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,5.74E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.71E-02,6.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,5.74E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.71E-02,6.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,5.74E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.71E-02,6.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,5.74E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.71E-02,6.24E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,3.91E-02,5.74E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
3.82E-02,1.36E-02,5.90E-02,4.50E-02,-4.50E-02,4.50E-02,4.00E-02,1.08E-02,5.12E-02,4.50E-01,1.50E-01,4.50E-02
