detected_X_V (unit),detected_Y_V (unit),detected_Z_V (unit),detected_X_P (unit),detected_Y_P (unit),detected_Z_P (unit),detected_XF (unit),detected_YF (unit),detected_ZF (unit),X_position (unit),Y_position (unit),Z_position (unit)
-4.00E-03,-2.30E-01,-3.50E-02,-7.50E-01,-5.50E-02,-1.35E-01,-1.97E-01,-2.22E-01,-9.07E-02,4.00E-01,2.00E-01,3.50E-02
4.46E-01,-1.75E-01,-3.95E-02,1.78E-01,-2.00E-01,3.95E-01,3.76E-01,-1.76E-01,2.03E-01,4.00E-01,2.00E-01,3.95E-02
4.46E-01,-1.75E-01,-3.99E-02,2.23E-01,-2.00E-01,3.92E-01,3.88E-01,-1.76E-01,2.01E-01,4.00E-01,2.00E-01,3.99E-02
4.46E-01,-1.75E-01,-4.00E-02,2.24E-01,-2.00E-01,3.91E-01,3.88E-01,-1.76E-01,2.00E-01,4.00E-01,2.00E-01,4.00E-02
2.73E-02,1.24E-02,5.34E-02,2.25E-01,-2.00E-01,3.90E-01,7.85E-02,2.48E-03,2.41E-01,4.00E-01,2.00E-01,4.00E-02
2.72E-02,1.24E-02,5.34E-02,2.26E-01,-2.00E-01,3.88E-01,7.87E-02,2.48E-03,2.40E-01,4.00E-01,2.00E-01,4.00E-02
2.72E-02,1.24E-02,5.35E-02,2.28E-01,-2.00E-01,3.87E-01,7.90E-02,2.48E-03,2.39E-01,4.00E-01,2.00E-01,4.00E-02
2.71E-02,1.24E-02,5.35E-02,2.29E-01,-2.00E-01,3.85E-01,7.93E-02,2.48E-03,2.38E-01,4.00E-01,2.00E-01,4.00E-02
2.71E-02,1.24E-02,5.35E-02,2.30E-01,-2.00E-01,3.84E-01,7.95E-02,2.48E-03,2.38E-01,4.00E-01,2.00E-01,4.00E-02
2.70E-02,1.24E-02,5.35E-02,4.00E-02,-4.00E-02,4.00E-02,3.04E-02,9.94E-03,4.60E-02,4.00E-01,2.00E-01,4.00E-02
2.69E-02,1.24E-02,5.35E-02,4.00E-02,-4.00E-02,4.00E-02,3.03E-02,9.94E-03,4.60E-02,4.00E-01,2.00E-01,4.00E-02
2.69E-02,1.24E-02,5.36E-02,4.00E-02,-4.00E-02,4.00E-02,3.03E-02,9.94E-03,4.60E-02,4.00E-01,2.00E-01,4.00E-02
2.68E-02,1.24E-02,5.36E-02,4.00E-02,-4.00E-02,4.00E-02,3.02E-02,9.94E-03,4.60E-02,4.00E-01,2.00E-01,4.00E-02
2.67E-02,1.24E-02,5.36E-02,4.00E-02,-4.00E-02,4.00E-02,3.02E-02,9.94E-03,4.60E-02,4.00E-01,2.00E-01,4.00E-02
2.66E-02,1.24E-02,5.36E-02,4.00E-02,-4.00E-02,4.00E-02,3.01E-02,9.95E-03,4.60E-02,4.00E-01,2.00E-01,4.00E-02
2.90E-02,1.24E-02,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.18E-02,9.94E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.89E-02,1.24E-02,5.43E-02,4.00E-02,-4.00E-02,4.00E-02,3.18E-02,9.94E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.88E-02,1.24E-02,5.43E-02,4.00E-02,-4.00E-02,4.00E-02,3.17E-02,9.94E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.88E-02,1.24E-02,5.43E-02,4.00E-02,-4.00E-02,4.00E-02,3.17E-02,9.94E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.87E-02,1.24E-02,5.43E-02,4.00E-02,-4.00E-02,4.00E-02,3.16E-02,9.94E-03,4.64E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,1.24E-02,5.44E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,9.94E-03,4.64E-02,4.00E-01,2.00E-01,4.00E-02
2.85E-02,1.24E-02,5.44E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,9.94E-03,4.64E-02,4.00E-01,2.00E-01,4.00E-02
2.84E-02,1.24E-02,5.44E-02,4.00E-02,-4.00E-02,4.00E-02,3.14E-02,9.94E-03,4.64E-02,4.00E-01,2.00E-01,4.00E-02
2.84E-02,1.24E-02,5.45E-02,4.00E-02,-4.00E-02,4.00E-02,3.14E-02,9.94E-03,4.64E-02,4.00E-01,2.00E-01,4.00E-02
2.83E-02,1.24E-02,5.45E-02,4.00E-02,-4.00E-02,4.00E-02,3.13E-02,9.94E-03,4.64E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,1.24E-02,5.44E-02,4.00E-02,-4.00E-02,4.00E-02,3.16E-02,9.94E-03,4.64E-02,4.00E-01,2.00E-01,4.00E-02
3.05E-02,1.24E-02,5.39E-02,4.00E-02,-4.00E-02,4.00E-02,3.29E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.08E-02,1.24E-02,5.38E-02,4.00E-02,-4.00E-02,4.00E-02,3.32E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.09E-02,1.24E-02,5.37E-02,4.00E-02,-4.00E-02,4.00E-02,3.32E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.09E-02,1.24E-02,5.37E-02,4.00E-02,-4.00E-02,4.00E-02,3.33E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.09E-02,1.24E-02,5.37E-02,4.00E-02,-4.00E-02,4.00E-02,3.33E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.09E-02,1.24E-02,5.37E-02,4.00E-02,-4.00E-02,4.00E-02,3.33E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.09E-02,1.24E-02,5.37E-02,4.00E-02,-4.00E-02,4.00E-02,3.33E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.09E-02,1.24E-02,5.37E-02,4.00E-02,-4.00E-02,4.00E-02,3.33E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.09E-02,1.24E-02,5.37E-02,4.00E-02,-4.00E-02,4.00E-02,3.33E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
3.09E-02,1.24E-02,5.37E-02,4.00E-02,-4.00E-02,4.00E-02,3.33E-02,9.94E-03,4.61E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.00E-01,2.00E-01,4.00E-02
2.86E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,3.15E-02,4.12E-03,4.63E-02,4.50E-01,2.00E-01,3.50E-02
-2.15E-02,6.28E-03,5.47E-02,4.00E-02,-4.00E-02,4.00E-02,-5.55E-03,4.12E-03,4.65E-02,4.50E-01,2.00E-01,3.95E-02
-2.15E-02,6.28E-03,5.43E-02,4.00E-02,-4.00E-02,4.00E-02,-5.55E-03,4.12E-03,4.63E-02,4.50E-01,2.00E-01,3.99E-02
-2.15E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,-5.55E-03,4.12E-03,4.63E-02,4.50E-01,2.00E-01,4.00E-02
-2.15E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,-5.55E-03,4.12E-03,4.63E-02,4.50E-01,2.00E-01,4.00E-02
-2.15E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,-5.55E-03,4.12E-03,4.63E-02,4.50E-01,2.00E-01,4.00E-02
-2.15E-02,6.28E-03,5.42E-02,4.00E-02,-4.00E-02,4.00E-02,-5.55E-03,4.12E-03,4.63E-02,4.50E-01,2.00E-01,4.00E-02
